Model,Task,RMSE,MAE,MAPE,R2,Train_Time_s
Random Forest Regressor,RUL,6.373207655347644,5.091484848484849,17.973036662148992,0.9624344269889648,0.2698547840118408
XGBoost Regressor,RUL,6.385948013143548,4.93539457948822,15.62350401001707,0.9622840859869854,0.8496057987213135
Transformer Encoder,RUL,6.583761082436484,5.866489391016766,50.55394237607326,0.9518515626504415,5.529124021530151
LSTM Neural Network,RUL,33.46321237182707,29.42487536794771,198.33374252124213,-0.24385378255159318,1.2207920551300049
Linear Regression,SOH,0.11602692229027202,0.09980891350499205,0.12729415691750168,0.999769453827929,0.0003960132598876953
XGBoost Regressor,SOH,0.5655227961355864,0.36767375142755643,0.472971606810394,0.9945230269636655,4.140315055847168
Random Forest Regressor,SOH,0.7147881634332731,0.40841420295164893,0.5302081875542404,0.991250261466412,0.17546701431274414
Ridge Regression,SOH,0.9437861170168905,0.8853033261982269,1.1431489711089775,0.9847458665942482,0.00032210350036621094
CNN-BiLSTM,SOH,6.894649501572756,6.183860778808594,8.181456586835592,0.013460054143417444,0.8885622024536133
LSTM Neural Network,SOH,6.94166755229858,6.239933665205792,8.040798199908481,-4.124046283071614e-05,1.127488136291504
